kode_provinsi,provinsi,kode_pemda,pemda,tahun,bansos,belanja_modal,belanja_pegawai,pad,pajak_daerah,retribusi,total_belanja,total_pendapatan,transfer,rasio_pad,rasio_transfer,rasio_pegawai,rasio_modal,rasio_bansos,serapan,growth_pad,growth_belanja,growth_pendapatan,fiscal_score,cluster,pca1,pca2,anomaly,cluster_label
21,Sulawesi Tenggara,13,Kab Konawe Kepulauan,2023,2393030000.0,175228127846.0,115324441460.0,12472642227.0,4429764476.0,1428065757.0,593081262207.0,531705702223.0,497512601021.0,0.023457792863332716,0.9356916785751166,0.19444964595719924,0.29545382565946093,0.004034910816596957,1.1154314496297404,0.0,0.0,0.0,0.24448814379883965,2,3.40915278195189,0.46819982867668325,1,Sangat Tergantung Pusat
21,Sulawesi Tenggara,13,Kab Konawe Kepulauan,2024,4297021000.0,202033467599.0,146544208655.0,17270521057.0,4396468604.0,3107876344.0,674402736118.0,643585044876.0,608499872023.0,0.026834870068069287,0.9454847915868525,0.21729480146913166,0.2995739144860917,0.006371594849591701,1.0478844116832107,0.3846722083965377,0.13711691650547686,0.21041591652157465,0.23947682923050317,2,3.013530458884369,-0.1975244325744214,1,Sangat Tergantung Pusat
21,Sulawesi Tenggara,13,Kab Konawe Kepulauan,2025,527500000.0,241393576356.0,159001289303.0,22687329546.0,7915071626.0,5077597792.0,671245444921.0,699141774994.0,660453509745.0,0.032450255953014255,0.9446632047565288,0.23687503655494174,0.35962043121858356,0.0007858526325822328,0.9600991800651029,0.31364476330055413,-0.0046816108949586654,0.08632383639166785,0.24974086732715117,2,3.104616104632432,-1.0514330237329808,1,Sangat Tergantung Pusat
19,Sulawesi Tengah,13,Kab Morowali Utara,2023,32006989650.0,224366834741.27,403453081996.0,116251941497.99,34129923034.0,34416582385.0,1250080792269.3,1140009807276.0,984790310578.0,0.10197451000511001,0.8638437180914349,0.3227416055754304,0.17948186719513687,0.025603936839871753,1.0965526649777773,0.0,0.0,0.0,0.24107820130287105,3,1.0120624513824676,0.8149321035662386,1,Fiskal Menengah Rendah
19,Sulawesi Tengah,13,Kab Morowali Utara,2024,28481937055.0,307845218053.18,497246280767.0,168834315091.99,74555959818.0,22045729269.0,1547446405511.7,1613844117768.0,1386889373248.0,0.10461624715371733,0.8593700952766826,0.32133344262903485,0.19893756381913832,0.01840576639911595,0.9588574190497838,0.45231393916039786,0.23787711568832703,0.41564055630732244,0.24729398692265112,3,0.7252323830506692,-0.5827046648304477,1,Fiskal Menengah Rendah
19,Sulawesi Tengah,13,Kab Morowali Utara,2025,13255409700.0,191410376643.6,485336551275.0,101142038858.12,46375661983.0,8593206088.0,1209149695015.6,1248764930577.2,1113013026141.0,0.08099365731817153,0.891291065986732,0.4013866548332862,0.15830163745038242,0.01096258780417505,0.9682764669381858,-0.40093908751303087,-0.21861610799001086,-0.22621713161226298,0.20690801008809626,0,-0.26688602271886924,-0.6227294057017225,1,Fiskal Menengah Tinggi
06,Sumatera Selatan,17,Kab Musi Rawas Utara,2023,9259629400.0,612505716392.0,233615361251.0,59684886629.09,17322624951.0,470088892.0,1317283188105.0,1199050452212.1,945230899926.0,0.04977679339428858,0.7883162031940905,0.17734634690591575,0.4649764924679032,0.007029338477568059,1.0986053052853406,0.0,0.0,0.0,0.3278688560018759,2,5.0664492194185815,0.48237745488464295,-1,Sangat Tergantung Pusat
06,Sumatera Selatan,17,Kab Musi Rawas Utara,2024,10897360000.0,783309385282.0,277356010189.0,113688110678.53,52122521713.94,501540849.0,1634022530417.3,1627104005557.5,1020505531665.0,0.06987144662555032,0.6271913339155851,0.1697381798757501,0.4793748988772859,0.006669039010873987,1.0042520483239974,0.9048056735877121,0.2404489370034022,0.35699377999957704,0.37958451664035353,2,4.904387660124747,-0.3567544559107212,-1,Sangat Tergantung Pusat
06,Sumatera Selatan,17,Kab Musi Rawas Utara,2025,6265790000.0,326183563646.0,263100434370.0,80765294737.38,32240831629.0,507372564.0,1030622498281.8,1229760638004.4,1029819243833.0,0.06567562193927615,0.8374143813093126,0.25528303021584264,0.3164917942212558,0.006079616940680024,0.8380675608175651,-0.2895889090306386,-0.3692727737244862,-0.24420280829986463,0.27587462515250116,2,2.0538493750403726,-2.0878390520724612,1,Sangat Tergantung Pusat
01,Aceh,01,Kab. Aceh Barat,2021,18966456572.03,289191622679.52,463071892678.29,134641234284.01,24546367307.47,5892710631.55,1343673324472.1,1340508333454.0,1144244382414.0,0.10044043063655468,0.8535899060513115,0.34463130602091907,0.2152246512694126,0.014115377768239542,1.0023610379280112,0.0,0.0,0.0,0.24587534325966498,3,0.841944580303158,-0.15401619843994452,1,Fiskal Menengah Rendah
01,Aceh,01,Kab. Aceh Barat,2022,12705273461.89,251666614320.0,491142213419.0,132055065014.7,29502893790.17,6767402443.54,1330736825406.1,1329776515550.6,1056051584830.0,0.0993062093294842,0.7941571929421065,0.3690753904470318,0.18911824600870955,0.009547547809096467,1.000722158832157,-0.019207854733823804,-0.009627711461104194,-0.008005782310765541,0.2502264461421284,3,0.38196884810033016,-0.1742078771429102,1,Fiskal Menengah Rendah
01,Aceh,01,Kab. Aceh Barat,2023,10677190000.0,208766082878.8,478098503205.3,135943106987.42,24434350662.29,6868832338.61,1255647129844.9,1233181611609.4,1030359692450.0,0.1102377019796812,0.8355295625153694,0.38075864774553,0.16626174497335663,0.00850333644398874,1.0182175261324087,0.029442581186016614,-0.05642715684093669,-0.07263995326402994,0.23680142450961142,3,0.10671575253539199,0.07859111998157108,1,Fiskal Menengah Rendah
01,Aceh,01,Kab. Aceh Barat,2024,9877200000.0,298623438703.37,559211693355.4,173979064080.88,27763847765.35,8317068836.66,1575087638450.1,1611087820605.9,1366432316388.0,0.10798856639326448,0.8481426641746385,0.35503528800827183,0.18959163376916477,0.006270889161265497,0.9776547363245159,0.27979320126161156,0.25440308906265585,0.30644813824567363,0.24267160134616156,3,0.409948711196561,-0.3584010219642002,1,Fiskal Menengah Rendah
01,Aceh,01,Kab. Aceh Barat,2025,8384700000.0,221265329775.0,579416831497.0,177253300531.09,56811621880.1,9818314575.57,1405136827215.2,1331830138067.1,1116650105215.0,0.13309002061504607,0.8384328251015604,0.412356163666516,0.1574688852284367,0.005967176888116579,1.055042071096612,0.0188197152772811,-0.10789927308561265,-0.17333486043844348,0.2359958452522602,3,-0.15675176792852052,0.6160826245497646,1,Fiskal Menengah Rendah
01,Aceh,17,Kab. Aceh Barat Daya,2021,5421014608.0,197341992906.0,304564796048.0,91756420320.22,7434410414.58,1494584557.0,903352465980.83,902359159815.22,767444947575.0,0.1016850323090967,0.8504872358498062,0.3371494599478551,0.21845514385321643,0.006000996080875302,1.0011007880341276,0.0,0.0,0.0,0.24922908912680455,3,0.929619582254815,-0.16058934519279983,1,Fiskal Menengah Rendah
01,Aceh,17,Kab. Aceh Barat Daya,2022,10331745423.0,176633123045.0,308317678083.0,98646278908.84,9664694578.0,1542559840.0,912899074981.72,899341768791.55,682043284397.0,0.10968719827323431,0.7583805268084733,0.33773468122878075,0.19348592619456528,0.011317511109546128,1.0150746986970114,0.07508857216285403,0.010567978015673773,-0.0033438913883112598,0.2699456366866706,3,0.7211627185604558,0.033248518305895675,1,Fiskal Menengah Rendah
01,Aceh,17,Kab. Aceh Barat Daya,2023,8905566444.0,110776966068.0,276439724661.0,103074746148.09,8188250160.0,1087593740.0,833629846312.82,829664465936.09,663878703749.0,0.12423666479652506,0.8001773379554854,0.33160967770492455,0.13288507670157348,0.010682878598204822,1.0047794988691674,0.04489239014623547,-0.08683241208288806,-0.07747588878150946,0.2536935779892422,3,0.13370633184329367,0.014547626603379236,1,Fiskal Menengah Rendah
